job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Machine Learning Engineer,Full-Time,Mid,Intermediate,170000,United States Dollar,United States,170000,United States,Medium,2023,-0.07781822732691372
Machine Learning Engineer,Full-Time,Mid,Intermediate,125000,United States Dollar,United States,125000,United States,Medium,2023,-0.22673132843640792
Data Engineer,Full-Time,Senior,Expert,158700,United States Dollar,United States,158700,United States,Medium,2023,-0.001952304181170287
Data Engineer,Full-Time,Senior,Expert,123906,United States Dollar,United States,123906,United States,Medium,2023,-0.15642364691250357
Data Engineer,Full-Time,Senior,Expert,166000,United States Dollar,United States,166000,United States,Medium,2023,0.03045675490771668
Data Engineer,Full-Time,Senior,Expert,128000,United States Dollar,United States,128000,United States,Medium,2023,-0.1382479362399141
Data Engineer,Full-Time,Mid,Intermediate,75000,Euro,Spain,80976,Spain,Medium,2023,-0.3735465844195044
Data Engineer,Full-Time,Mid,Intermediate,62000,Euro,Spain,66940,Spain,Medium,2023,-0.431261347180536
Data Engineer,Full-Time,Executive,Director,333500,United States Dollar,United States,333500,United States,Medium,2023,0.7740892750979312
Data Engineer,Full-Time,Executive,Director,180500,United States Dollar,United States,180500,United States,Medium,2023,0.09483091337194421
Machine Learning Engineer,Full-Time,Senior,Expert,242921,United States Dollar,United States,242921,United States,Medium,2023,0.16349048925098467
Machine Learning Engineer,Full-Time,Senior,Expert,170045,United States Dollar,United States,170045,United States,Medium,2023,-0.07766931422580423
Data Engineer,Full-Time,Mid,Intermediate,62000,British Pound Sterling,United Kingdom,76284,United Kingdom,Medium,2023,-0.431261347180536
Data Engineer,Full-Time,Executive,Director,257400,United States Dollar,United States,257400,United States,Medium,2023,0.43623593308912334
Data Engineer,Full-Time,Executive,Director,210600,United States Dollar,United States,210600,United States,Medium,2023,0.22846278714940965
Data Operations Specialist,Full-Time,Mid,Intermediate,65000,United States Dollar,United States,65000,United States,Medium,2023,1.5417199416868574
Data Operations Specialist,Full-Time,Mid,Intermediate,50000,United States Dollar,United States,50000,United States,Medium,2023,-0.8559782568930141
Data Engineer,Full-Time,Senior,Expert,293000,United States Dollar,United States,293000,United States,Medium,2023,0.5942855911116406
Director of Data Science,Full-Time,Executive,Director,260000,United States Dollar,United States,260000,United States,Medium,2023,0.7062351624392519
Director of Data Science,Full-Time,Executive,Director,192000,United States Dollar,United States,192000,United States,Medium,2023,-0.17567645377102997
Machine Learning Scientist,Full-Time,Mid,Intermediate,170000,United States Dollar,United States,170000,United States,Medium,2023,-0.06524882153686896
Machine Learning Scientist,Full-Time,Mid,Intermediate,125000,United States Dollar,United States,125000,United States,Medium,2023,-0.8491649270912234
Business Intelligence Data Analyst,Full-Time,Entry,Junior,99000,United States Dollar,United States,99000,United States,Large,2023,0.9128709291752768
Machine Learning Engineer,Full-Time,Senior,Expert,233000,United States Dollar,United States,233000,United States,Medium,2023,0.13066011422637816
Machine Learning Engineer,Full-Time,Senior,Expert,166000,United States Dollar,United States,166000,United States,Medium,2023,-0.09105494742553542
Data Engineer,Full-Time,Senior,Expert,185100,United States Dollar,United States,185100,United States,Medium,2023,0.11525306019507846
Data Engineer,Full-Time,Senior,Expert,127600,United States Dollar,United States,127600,United States,Medium,2023,-0.1400237750940997
Data Analyst,Full-Time,Mid,Intermediate,105000,United States Dollar,United States,105000,United States,Medium,2023,-0.10927830774586106
Data Analyst,Full-Time,Executive,Director,160000,United States Dollar,United States,160000,United States,Medium,2023,0.45682609531165397
Data Analyst,Full-Time,Executive,Director,55000,United States Dollar,United States,55000,United States,Medium,2023,-0.6239186741617838
Machine Learning Engineer,Full-Time,Senior,Expert,241000,United States Dollar,United States,241000,United States,Medium,2023,0.1571335544236216
Machine Learning Engineer,Full-Time,Senior,Expert,163000,United States Dollar,United States,163000,United States,Medium,2023,-0.1009824874995017
Data Scientist,Full-Time,Mid,Intermediate,120000,United States Dollar,United States,120000,United States,Medium,2023,-0.10811628872284909
Data Scientist,Full-Time,Senior,Expert,118000,United States Dollar,United States,118000,United States,Medium,2023,-0.1096369047767805
Machine Learning Engineer,Full-Time,Senior,Expert,311000,United States Dollar,United States,311000,United States,Medium,2023,0.38877615614950145
Machine Learning Engineer,Full-Time,Senior,Expert,162540,United States Dollar,United States,162540,United States,Medium,2023,-0.1025047103108432
Insight Analyst,Full-Time,Mid,Intermediate,42000,British Pound Sterling,United Kingdom,51676,United Kingdom,Medium,2023,0.9128709291752769
Insight Analyst,Full-Time,Mid,Intermediate,35000,British Pound Sterling,United Kingdom,43064,United Kingdom,Medium,2023,-0.9128709291752769
Data Scientist,Full-Time,Executive,Director,258750,United States Dollar,United States,258750,United States,Medium,2023,-0.0026235499813580575
