job_title,employment_type,experience_level,expertise_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,year,standardized_salary
Data Engineer,Full-Time,Mid,Intermediate,74000,British Pound Sterling,United Kingdom,91118,United Kingdom,Medium,2022,-0.3779861815549684
Data Engineer,Full-Time,Mid,Intermediate,50000,British Pound Sterling,United Kingdom,61566,United Kingdom,Medium,2022,-0.4845365128061036
Data Scientist,Full-Time,Mid,Intermediate,58000,Euro,Germany,60938,Germany,Small,2022,-0.1552553863947225
Data Science Manager,Full-Time,Senior,Expert,249260,United States Dollar,United States,249260,United States,Medium,2022,-0.1180479157537539
Data Science Manager,Full-Time,Senior,Expert,185400,United States Dollar,United States,185400,United States,Medium,2022,-0.1823357680926148
Data Scientist,Full-Time,Mid,Intermediate,65000,British Pound Sterling,United Kingdom,80036,United Kingdom,Medium,2022,-0.1499332302059626
Data Analyst,Full-Time,Senior,Expert,128875,United States Dollar,United States,128875,United States,Medium,2022,0.136462467217742
Data Analyst,Full-Time,Senior,Expert,93700,United States Dollar,United States,93700,United States,Medium,2022,-0.2255870305558596
Machine Learning Engineer,Full-Time,Senior,Expert,100000,United States Dollar,United States,100000,United States,Medium,2022,-0.3094608290527936
Data Analyst,Full-Time,Senior,Expert,136260,United States Dollar,United States,136260,United States,Medium,2022,0.2124748493373738
Data Analyst,Full-Time,Senior,Expert,109280,United States Dollar,United States,109280,United States,Medium,2022,-0.065225092380658
Data Scientist,Full-Time,Senior,Expert,92000,United States Dollar,United States,92000,United States,Large,2022,-0.1294049134778887
Data Engineer,Full-Time,Mid,Intermediate,110000,British Pound Sterling,United Kingdom,135446,United Kingdom,Medium,2022,-0.2181606846782655
Data Engineer,Full-Time,Mid,Intermediate,85000,British Pound Sterling,United Kingdom,104663,United Kingdom,Medium,2022,-0.3291506130648647
Data Engineer,Full-Time,Entry,Junior,129000,United States Dollar,United States,129000,United States,Large,2022,-0.1338083391044501
Data Engineer,Full-Time,Entry,Junior,86000,United States Dollar,United States,86000,United States,Large,2022,-0.3247110159294007
Business Data Analyst,Full-Time,Senior,Expert,100000,United States Dollar,United States,100000,United States,Large,2022,-0.3372689386841138
Data Scientist,Full-Time,Mid,Intermediate,25000,United States Dollar,Turkey,25000,Turkey,Medium,2022,-0.1803455512845907
Data Analyst,Full-Time,Mid,Intermediate,90000,Singapore Dollar,Singapore,65257,Singapore,Medium,2022,-0.2636704176706378
AI Scientist,Full-Time,Mid,Intermediate,200000,United States Dollar,United States,200000,United States,Medium,2022,-0.1511878257080296
Machine Learning Developer,Full-Time,Entry,Junior,180000,United States Dollar,United States,180000,United States,Large,2022,2.006615240656465
Data Scientist,Full-Time,Mid,Intermediate,153000,United States Dollar,United States,153000,United States,Large,2022,-0.0830261238329809
Data Analyst,Full-Time,Senior,Expert,150075,United States Dollar,United States,150075,United States,Medium,2022,0.3546699825780933
Data Analyst,Full-Time,Senior,Expert,110925,United States Dollar,United States,110925,United States,Medium,2022,-0.0482934243255742
